IDX;YEAR;ACM_DL;IEEE_X;SCHOLA;SCOPUS;SC_DIR;SEMAN1;SPRING;TAYFRA;WILEYL
0;2011;0;1;1;0;0;0;0;0;0
1;2025;0;0;0;0;0;0;1;0;0
2;2024;0;0;1;0;0;1;0;0;0
3;2025;0;0;0;0;1;0;0;0;0
4;2021;0;0;1;0;0;0;0;0;0
5;2019;0;0;0;0;0;1;0;0;0
6;2016;0;0;1;0;0;0;0;0;0
7;2021;0;0;0;0;0;0;0;1;0
8;2020;0;0;1;0;0;1;0;0;0
9;2024;0;1;0;0;0;0;0;0;0
10;2026;0;0;0;1;0;0;0;0;0
11;2012;0;0;0;0;0;1;0;0;0
12;2023;0;1;0;0;0;1;0;0;0
13;2013;0;0;1;0;0;1;0;0;0
14;2024;0;1;0;0;0;0;0;0;0
15;2022;0;0;1;0;0;0;0;0;0
16;2022;0;0;1;0;0;0;0;0;0
17;1997;0;1;0;0;0;0;0;0;0
18;2026;0;0;0;1;0;0;0;0;0
19;2013;0;0;1;0;0;0;0;0;0
20;2016;0;0;1;0;0;0;0;0;0
21;2012;0;0;1;0;0;0;0;0;0
22;2020;0;0;1;0;0;0;0;0;0
23;2023;0;1;0;0;0;0;0;0;0
24;2022;0;0;1;0;0;1;0;0;0
25;2023;0;1;0;0;0;0;0;0;0
26;2014;0;0;1;0;0;0;0;0;0
27;2026;0;0;0;1;0;0;0;0;0
28;2022;0;1;0;0;0;0;0;0;0
29;2026;0;0;0;1;0;0;0;0;0
30;2019;0;0;0;0;0;1;0;0;0
31;2021;0;0;1;0;0;0;0;0;0
32;2019;0;1;0;0;0;0;0;0;0
33;2024;0;1;0;0;0;0;0;0;0
34;2020;0;0;0;0;1;0;0;0;0
35;2015;0;0;1;0;0;0;0;0;0
36;2021;0;0;1;0;0;0;0;0;0
37;2022;0;0;0;0;0;1;0;0;0
38;2015;0;0;1;0;0;1;0;0;0
39;2024;0;0;0;0;0;1;0;0;0
40;2015;0;1;0;0;0;0;0;0;0
41;2022;0;1;0;0;0;0;0;0;0
42;2024;0;1;0;0;0;0;0;0;0
43;2026;0;0;0;1;0;0;0;0;0
44;2024;0;0;1;0;0;0;0;0;0
45;2021;0;1;0;0;0;0;0;0;0
46;2019;0;0;0;0;0;0;0;1;0
47;2025;0;0;0;0;0;1;0;0;0
48;2019;0;0;1;0;0;1;0;0;0
49;2023;0;1;0;0;0;0;0;0;0
50;2026;0;0;0;1;0;0;0;0;0
51;2026;0;0;0;1;0;0;0;0;0
52;2016;0;0;1;0;0;1;0;0;0
53;2024;0;0;0;0;0;1;0;0;0
54;2019;0;1;0;0;0;0;0;0;0
55;2015;0;0;1;0;0;0;0;0;0
56;2022;0;0;0;0;0;1;0;0;0
57;5187;0;0;0;0;0;0;0;1;0
58;2026;0;1;0;1;0;1;0;0;0
59;2022;0;0;0;0;0;1;0;0;0
60;2014;0;0;1;0;0;0;0;0;0
61;2022;0;0;0;0;0;1;0;0;0
62;2022;0;1;0;0;0;0;0;0;0
63;2025;0;0;1;0;0;0;1;0;0
64;2022;0;1;0;0;0;0;0;0;0
65;2023;0;1;0;0;0;0;0;0;0
66;2021;0;0;1;0;0;0;0;0;0
67;2009;0;0;0;0;0;0;0;1;0
68;2019;0;0;1;0;1;0;0;0;0
69;2025;0;0;0;0;0;0;1;0;0
70;2024;0;0;0;0;1;0;0;0;0
71;2024;0;0;0;0;1;0;0;0;0
72;2017;0;0;1;0;0;0;0;0;0
73;2020;0;0;1;0;0;1;0;0;0
74;2023;0;0;0;0;0;1;0;0;0
75;2026;0;0;0;1;0;0;0;0;0
76;2024;0;1;0;0;0;0;0;0;0
77;2012;0;0;1;0;0;0;0;0;0
78;2021;0;0;1;0;0;0;0;0;0
79;2020;0;0;1;0;0;1;0;0;0
80;2025;0;0;0;0;0;1;0;0;0
81;2026;0;0;0;1;0;0;0;0;0
82;2024;0;1;0;0;0;0;0;0;0
83;2025;0;0;1;0;0;0;0;0;0
84;2023;0;0;1;0;0;0;0;0;0
85;2015;0;0;0;0;0;1;0;0;0
86;2011;0;1;0;0;0;0;0;0;0
87;2015;0;0;1;0;0;0;0;0;0
88;2026;0;0;0;1;0;0;0;0;0
89;2012;0;0;1;0;0;0;0;0;0
90;2025;0;0;0;0;1;0;0;0;0
91;2026;0;0;0;1;0;0;0;0;0
92;2011;0;0;1;0;0;1;0;0;0
93;2011;0;0;1;0;0;0;0;0;0
94;2025;0;0;0;0;0;0;1;0;0
95;2025;0;0;0;0;0;1;0;0;0
96;2023;0;0;0;0;0;1;0;0;0
97;2020;0;0;0;0;0;1;0;0;0
98;2014;0;0;0;0;0;1;0;0;0
99;2020;0;1;0;0;0;1;0;0;0
100;2022;0;0;1;0;0;0;0;0;0
101;2022;0;0;1;0;0;0;0;0;0
102;2025;0;0;0;1;0;0;0;0;0
103;2019;0;0;1;0;0;1;0;0;0
104;2018;0;0;0;0;0;0;0;0;1
105;2026;0;1;0;1;0;0;0;0;0
106;2025;0;0;0;0;0;1;1;0;0
107;2024;0;0;0;0;0;1;0;0;0
108;2020;0;0;0;0;0;1;0;0;0
109;2010;0;0;1;0;0;0;0;0;0
110;2025;0;0;1;0;0;0;0;0;0
111;2021;0;0;1;0;0;0;0;0;0
112;2023;0;1;0;0;0;0;0;0;0
113;2021;0;1;0;0;0;0;0;0;0
114;2016;0;0;1;0;0;1;0;0;0
115;2025;0;0;0;0;1;0;0;0;0
116;2025;0;0;0;0;0;0;1;0;0
117;2026;0;0;0;1;0;0;0;0;0
118;2011;0;0;1;0;0;1;0;0;0
119;2026;0;0;0;1;0;0;0;0;0
120;2021;0;0;0;0;0;1;0;0;0
121;2019;0;1;0;0;0;0;0;0;0
122;2020;0;0;0;0;0;1;0;0;0
123;2024;0;1;0;0;0;1;0;0;0
124;2022;0;0;1;0;0;1;0;0;0
125;2015;0;0;1;0;0;0;0;0;0
126;2020;0;0;1;0;0;1;0;0;0
127;2026;0;0;0;1;0;0;0;0;0
128;2018;0;0;0;0;0;1;0;0;0
129;2025;0;0;0;0;0;0;1;0;0
130;2026;0;0;0;1;0;0;0;0;0
131;2024;0;0;0;0;0;1;0;0;0
132;2026;0;0;0;1;0;0;0;0;0
133;2026;0;0;0;1;0;0;0;0;0
134;2026;0;0;0;1;0;0;0;0;0
